"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"04/13/2020",203,5,163,130,1136,384,1346,133,80,1124,863,5,19,1173,431,123,46,55,421,65,711,1392,1391,0,161,246,7,23,154,56,2734,17,6716,316,23,371,99,57,1354,0,71,138,102,584,60,21,473,26,18,87,5
"04/14/2020",171,8,104,88,1425,259,608,168,103,609,1263,7,38,1223,168,189,51,30,502,37,536,1297,1366,74,145,231,5,83,144,-63,4240,83,7271,227,10,310,115,49,1173,586,162,120,217,752,54,4,435,164,29,127,7
"04/15/2020",266,8,155,71,1330,6,766,88,139,883,409,13,9,1345,433,96,63,162,433,35,560,1754,1058,114,273,45,5,4,77,217,2206,139,11434,227,24,509,79,30,1288,0,103,180,0,914,131,7,318,143,62,166,5
"04/16/2020",158,7,273,51,991,330,1129,56,153,832,682,6,114,1141,582,146,111,225,581,26,752,2263,750,0,264,383,11,51,3,0,4287,0,9237,299,28,620,94,73,1505,278,275,143,548,959,135,15,389,115,26,154,9
"04/17/2020",92,9,274,75,1480,405,925,247,126,1416,1525,11,22,1844,612,191,115,87,586,31,788,2221,1214,261,169,197,7,114,310,148,3150,113,6906,406,0,693,108,49,1630,648,168,100,-112,970,110,5,602,460,47,178,9
"04/18/2020",231,5,213,49,1334,356,741,221,190,733,475,33,46,1582,487,181,91,185,462,20,754,1970,768,139,181,208,4,183,102,55,2953,201,11115,283,135,1115,0,59,1764,314,149,131,326,841,124,24,562,259,10,146,4
"04/19/2020",190,5,209,37,940,683,412,0,127,822,632,6,13,1197,570,389,84,253,348,20,521,1705,633,147,300,164,7,225,102,48,3881,47,6103,273,57,1380,102,66,1250,215,129,93,481,550,152,10,489,479,105,147,4
"04/20/2020",185,2,135,192,2255,0,1853,207,134,745,1106,4,4,1156,477,257,143,90,595,8,837,0,576,114,238,147,0,174,102,57,3421,126,5245,294,42,1317,113,47,1012,384,69,50,168,495,144,3,448,-141,12,153,4
"04/21/2020",241,8,188,17,1779,743,545,186,171,810,474,2,64,1546,409,482,116,154,331,13,509,3122,667,97,204,176,4,37,107,43,3665,0,5301,239,17,806,127,47,1335,410,-7,70,156,932,84,2,640,278,6,126,126
"04/22/2020",288,6,217,286,1879,418,2109,269,108,440,1333,6,30,2048,341,107,167,174,404,19,582,1745,1299,155,178,211,2,128,144,98,3527,239,4931,361,35,392,87,55,833,341,322,103,0,662,148,5,636,204,31,220,4
"04/23/2020",207,2,299,323,2217,387,631,108,155,1339,669,4,70,1830,601,176,390,101,481,30,962,3079,1330,220,259,229,3,389,127,82,4111,169,168,325,30,577,123,68,2297,415,156,98,872,1300,167,2,732,157,42,207,6
"04/24/2020",193,2,273,211,1794,978,836,134,167,885,608,5,34,2721,642,521,238,300,401,28,879,4946,1345,243,281,282,2,222,190,50,2171,142,8130,470,39,475,104,50,1829,443,153,84,462,992,170,2,596,224,29,304,20
"04/25/2020",182,0,241,101,1013,712,647,134,171,306,731,4,17,2119,718,647,176,136,372,0,1150,2379,433,261,284,147,1,295,141,77,3302,139,10553,478,55,418,73,76,945,430,183,107,461,534,166,16,772,342,0,331,18
"04/26/2020",201,1,248,90,1190,473,686,458,142,693,264,1,10,2126,613,384,142,170,261,50,815,1590,704,156,193,185,3,309,195,67,3540,66,5902,229,64,385,60,58,1463,310,245,65,478,803,175,8,604,202,45,225,11
"04/27/2020",146,5,191,68,1408,438,728,128,51,606,816,1,0,1980,949,392,196,71,295,8,906,1524,432,209,183,185,1,330,-34,74,2150,99,3951,324,75,353,27,43,942,269,115,32,251,445,113,4,568,165,8,169,18
"04/28/2020",199,6,230,58,1198,437,315,413,102,710,620,2,55,2219,627,508,179,219,218,17,626,1840,1052,370,248,145,2,159,121,72,2668,149,3110,434,49,444,129,31,1579,219,122,69,134,952,109,7,801,156,32,208,16
"04/29/2020",159,4,254,66,2583,442,455,80,112,345,853,4,0,2256,594,467,187,162,374,16,736,1963,1137,463,227,210,0,334,113,48,2509,239,4585,425,42,534,63,61,1190,320,147,60,314,1008,152,0,623,228,15,231,9
"04/30/2020",208,0,446,88,1383,526,933,79,217,497,489,5,32,2560,653,302,574,171,341,39,893,1940,980,492,246,158,2,430,119,88,2287,198,4681,574,34,724,145,64,1644,374,213,76,369,1364,175,4,885,257,15,334,14
"05/01/2020",253,9,314,56,1896,509,1064,184,335,1038,1225,1,31,3137,795,739,221,174,710,28,1730,2106,977,594,397,249,0,727,195,164,2538,102,3942,316,40,716,130,69,1608,341,163,76,1156,965,156,13,1055,310,27,460,7
"05/02/2020",260,1,395,35,1321,432,523,120,139,735,842,1,46,2450,665,759,251,-3,429,30,1001,1952,851,502,229,289,2,309,141,119,2527,219,4663,518,46,592,103,56,915,327,231,63,770,1217,157,7,836,366,33,346,13
"05/03/2020",277,3,276,65,1556,410,0,170,219,615,334,0,0,2994,638,532,271,251,200,32,989,1824,594,431,109,262,0,344,83,89,3027,118,3438,182,38,579,121,45,731,188,137,43,516,1072,190,11,934,182,10,304,7
"05/04/2020",226,2,284,54,981,283,686,80,154,819,786,1,45,2278,574,528,227,115,333,20,946,1000,189,571,327,328,2,376,158,70,1525,181,2538,201,34,560,72,79,1591,175,131,37,394,785,142,5,821,277,29,272,10
"05/05/2020",317,1,381,34,2572,449,648,83,152,542,547,4,21,2112,526,408,265,577,323,21,709,1184,461,617,330,175,-1,336,30,48,2324,107,2239,539,41,495,83,80,1048,281,84,53,119,1161,132,5,764,132,22,330,8
"05/06/2020",249,1,402,86,2160,465,374,407,139,563,745,1,31,2343,837,293,345,112,403,28,1046,1754,728,728,217,202,0,316,81,105,1297,153,2786,543,57,607,75,77,936,272,95,59,248,1007,146,1,0,311,-4,335,27
"05/07/2020",346,2,238,92,1532,538,789,161,193,826,875,3,20,2639,633,655,339,195,253,76,1211,1696,566,786,262,258,0,645,114,102,2101,202,3491,487,48,555,128,73,1156,325,206,126,158,1118,129,8,1313,326,45,314,4
"05/08/2020",322,3,581,44,1631,457,627,172,245,371,563,0,0,2889,643,398,335,159,203,44,1111,1612,641,723,404,152,2,484,65,104,1849,180,2938,466,54,885,94,79,1415,249,225,239,345,1203,195,3,772,157,36,375,9
"05/09/2020",283,1,434,0,2779,548,573,166,203,802,407,2,27,2325,586,214,162,152,562,34,1049,1410,429,702,288,178,0,275,251,64,1557,105,2715,472,39,681,66,92,1189,210,164,248,327,1139,184,2,854,286,0,349,9
"05/10/2020",262,1,159,265,1042,328,570,0,170,595,992,1,25,1656,394,288,122,0,183,28,1053,1050,367,481,123,157,0,78,-51,60,1357,85,2273,460,27,384,99,68,1379,285,122,124,217,857,148,6,885,217,37,280,9
"05/11/2020",280,0,264,31,1729,176,211,288,117,386,422,2,30,1266,501,414,208,237,215,26,786,669,370,528,173,89,1,236,32,89,1452,206,1660,336,27,696,24,58,520,176,139,97,559,1314,111,-1,989,231,6,199,7
"05/12/2020",304,4,353,121,1649,278,568,176,96,941,922,1,33,4014,500,539,81,176,235,15,688,870,469,695,234,112,2,125,161,79,711,143,1430,348,53,473,119,72,851,164,135,49,567,1113,70,1,730,208,12,193,6
"05/13/2020",256,0,480,72,1820,318,522,211,99,479,503,3,0,1673,346,377,278,0,612,38,751,1165,370,423,182,135,1,380,163,60,643,152,2176,730,76,471,126,58,791,221,103,69,259,1356,188,2,946,182,20,291,13
"05/14/2020",339,0,458,130,2073,363,609,271,152,808,550,-1,58,3243,580,386,187,372,827,50,1091,1685,1191,518,393,190,0,348,28,83,1144,139,2390,616,65,636,105,63,1004,181,159,60,329,1456,129,3,1067,261,29,373,13
"05/15/2020",333,5,495,97,1822,394,621,150,135,928,795,1,0,2432,603,374,181,219,348,38,1083,1239,497,805,318,172,4,350,229,71,1280,159,2762,526,49,597,124,62,1031,203,218,95,261,1241,164,1,859,178,20,410,15
"05/16/2020",334,0,497,115,2032,401,618,174,171,673,440,1,68,2088,624,279,53,244,280,45,982,1512,459,729,322,193,2,610,80,103,1105,185,2419,636,87,520,150,71,1049,215,254,72,303,1717,155,1,1011,337,23,502,25
"05/17/2020",309,0,279,181,1441,305,716,123,81,777,367,1,0,1734,498,323,14,0,315,39,836,1077,604,699,173,149,0,-43,136,40,1415,91,1889,543,52,449,73,11,515,240,155,28,96,952,170,6,705,145,22,356,13
"05/18/2020",301,0,263,54,1291,264,697,199,147,854,704,0,36,2294,477,304,350,247,277,26,958,1042,773,704,136,134,2,448,112,56,1736,158,1250,534,31,531,88,64,969,121,126,40,652,783,146,0,752,178,10,144,12
"05/19/2020",387,12,368,110,2295,280,314,168,164,502,572,1,0,1545,450,341,50,134,329,28,1784,873,435,657,272,151,1,229,35,69,1116,96,1474,32,63,498,91,39,642,156,114,58,401,1384,134,4,1005,200,0,198,10
"05/20/2020",361,1,330,80,2245,315,587,157,117,527,946,2,51,2388,569,324,154,98,278,78,777,1045,659,641,263,135,7,268,292,147,1420,125,1525,1023,101,484,43,75,815,405,119,92,0,1237,192,0,763,160,65,528,11
"05/21/2020",404,0,442,455,2034,394,191,192,237,1204,862,4,0,2270,662,550,118,119,1188,58,1208,1114,501,530,255,161,1,305,12,67,810,155,2088,250,134,731,148,16,1126,215,206,0,549,1266,164,6,1229,146,26,472,14
"05/22/2020",364,2,276,154,2221,296,432,143,105,776,819,-5,89,2756,473,322,284,140,421,71,893,805,403,805,403,147,0,235,125,79,993,153,1696,1598,88,627,169,47,959,165,257,179,433,486,183,2,813,148,112,511,2
"05/23/2020",374,4,429,163,2287,477,382,0,73,676,760,1,0,2352,492,406,37,145,0,65,1071,773,452,840,380,130,0,301,1,75,561,0,1772,754,48,614,111,24,798,216,257,108,391,1277,203,2,799,0,0,481,10
"05/24/2020",348,0,324,147,1481,210,446,280,144,740,660,0,31,2508,475,353,58,0,244,42,818,1013,314,728,255,183,0,171,355,60,1014,318,1589,501,53,503,77,39,554,113,201,99,326,1019,132,2,495,563,54,400,25
"05/25/2020",633,1,198,107,2380,95,405,156,115,879,498,0,0,1713,339,306,121,0,640,19,839,596,202,742,198,327,0,228,75,48,938,83,1249,692,39,566,53,22,362,0,82,23,424,499,129,6,1483,237,15,307,5
